Bola1;Bola2;Bola3;Bola4;Bola5
17;18;41;56;78
17;18;24;26;69
31;32;38;42;64
1;16;56;64;80
3;35;53;58;68
24;26;40;42;55
20;45;59;69;80
10;11;22;39;72
6;25;27;37;52
2;4;32;53;80
14;39;46;51;76
19;34;38;49;70
13;18;20;35;70
6;16;21;32;50
6;10;21;45;75
30;38;48;50;64
2;6;7;29;30
18;34;40;50;51
4;24;47;49;69
22;29;39;56;80
2;14;17;29;47
10;30;41;56;69
13;20;24;42;43
9;16;41;70;72
5;29;36;50;71
5;31;64;68;73
19;40;49;73;79
14;25;28;51;63
7;11;22;48;63
10;25;53;61;67
22;31;45;47;70
12;28;73;78;80
10;12;25;31;70
2;7;25;30;67
23;32;40;46;55
29;56;65;68;72
10;32;44;69;77
26;29;37;75;80
22;36;53;54;59
2;42;44;49;63
4;12;26;54;62
25;35;36;40;71
10;52;56;66;73
16;19;29;30;73
9;12;34;41;46
9;13;14;48;69
8;39;51;57;68
11;16;17;43;63
26;40;42;53;76
28;33;34;41;53
39;46;51;55;70
5;18;28;53;59
10;18;35;43;62
4;6;8;27;46
37;44;66;73;80
11;35;42;78;80
13;37;40;47;57
28;43;47;53;73
3;26;29;56;59
13;48;50;73;78
7;23;33;53;77
23;42;57;58;78
3;4;10;57;76
40;48;54;61;66
29;33;36;64;73
6;34;41;48;73
11;22;24;55;64
5;7;45;48;68
5;33;34;48;68
2;4;40;64;78
21;23;24;28;72
26;33;41;46;49
9;31;49;56;72
10;22;26;70;74
5;38;49;64;74
4;6;15;29;32
1;7;31;46;60
19;22;44;55;73
28;30;36;55;78
15;23;43;45;78
12;42;55;63;64
12;24;28;31;70
3;19;36;46;64
9;18;21;32;52
9;26;38;45;63
2;18;46;61;74
1;10;13;31;42
9;27;30;50;57
18;28;39;54;74
41;65;74;78;80
20;22;29;39;50
20;32;33;43;74
1;29;35;41;59
36;37;38;48;78
16;25;30;62;73
8;11;18;49;79
13;15;21;45;53
8;11;29;35;55
31;40;44;51;80
7;31;35;39;45
15;25;51;65;70
2;14;16;34;54
8;12;16;40;59
4;42;52;56;73
4;19;29;33;70
3;10;23;32;51
10;36;42;62;70
44;46;65;73;74
27;33;48;55;76
26;40;42;74;76
9;39;45;52;77
18;21;42;56;75
26;33;62;65;67
33;45;48;73;77
5;41;56;74;79
18;22;32;46;72
4;8;10;34;70
3;19;27;58;66
8;17;46;53;74
18;23;45;56;72
35;42;45;63;77
22;28;38;46;68
2;27;33;56;66
18;32;41;72;76
5;12;16;47;58
10;19;33;39;78
7;11;18;40;51
18;31;45;61;71
31;34;38;58;61
36;49;62;77;78
22;39;56;64;73
5;42;44;69;78
7;16;61;66;70
24;27;44;61;70
13;16;45;64;78
34;51;54;60;66
20;23;44;52;69
23;24;60;67;69
4;30;33;39;47
23;30;54;57;67
8;25;26;47;78
29;60;61;77;79
12;21;42;54;56
3;18;21;53;66
24;38;44;50;57
7;10;28;62;78
18;34;36;41;69
10;24;41;56;61
8;39;62;76;78
6;10;17;19;44
11;26;30;61;80
12;25;26;33;70
12;52;54;72;79
40;41;52;71;72
7;24;54;60;64
14;17;28;39;66
1;15;31;58;74
14;15;20;43;44
9;10;15;54;79
4;7;28;29;78
1;33;47;60;64
13;18;40;52;70
45;58;71;73;79
20;23;40;42;47
8;10;31;32;61
29;35;38;43;75
1;56;60;68;80
15;52;66;71;78
3;16;19;22;38
7;21;42;43;60
3;6;8;36;66
21;42;52;66;79
2;21;34;47;60
18;38;40;68;72
21;26;42;50;54
5;15;18;55;78
4;14;72;73;74
4;17;21;39;76
19;40;44;71;73
6;27;40;46;71
3;18;70;79;80
7;9;70;73;74
4;15;46;54;59
7;22;47;61;64
12;14;38;61;62
5;21;43;51;66
9;13;28;48;80
24;26;32;40;56
